01.01.2020,Wednesday,New Year's Day,0
02.01.2020,Thursday,St. Berchtold’s Day,0
09.04.2020,Thursday,None,7.2
10.04.2020,Friday,Good Friday,0
13.04.2020,Monday,Easter Monday,0
20.04.2020,Monday,Sechseläuten,4.1
30.04.2020,Thursday,None,7.2
01.05.2020,Friday,Labour Day,0
20.05.2020,Wednesday,None,7.2
21.05.2020,Thursday,Ascension Day,0
01.06.2020,Monday,Whit Monday,0
31.07.2020,Friday,None,7.2
14.09.2020,Monday,None,4.1
24.12.2020,Thursday,Christmas Eve,4.1
25.12.2020,Friday,Christmas Day,0
31.12.2020,Thursday,New Year's Eve,4.1
